StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,movieChoice,choiceTime_First Click,choiceTime_Last Click,choiceTime_Page Submit,choiceTime_Click Count,cs_1,cs_3,cs_4,cs_5,cs_6,cs_7,cs_8,cs_13,cs_time_First Click,cs_time_Last Click,cs_time_Page Submit,cs_time_Click Count,val_q_1,val_q_2,val_q_3,val_q_4,val_q_5,val_q_6,val_q_7,val_q_8,val_time_First Click,val_time_Last Click,val_time_Page Submit,val_time_Click Count,freq_q_1,freq_q_2,freq_q_3,freq_q_4,freq_q_5,freq_q_6,freq_q_7,freq_q_8,freq_time_First Click,freq_time_Last Click,freq_time_Page Submit,freq_time_Click Count
3/19/19 9:53,3/19/19 9:56,0,99.32.72.11,100,149,1,3/19/19 9:56,R_1LOnd9dz8mWLW4Z,,,,,29.56559753,-95.27469635,anonymous,EN,Tacos,8.414,19.162,31.545,3,Spagetti,Tacos,Quesadilla,Salad,Sub Sandwich,Chicken Parmesan ,Steak,Mac and Cheese,0.93,60.652,61.183,6,5,6,7,4,3,6,7,5,10.165,23.052,23.324,11,7,5,5,4,4,3,2,4,5.472,17.003,18.291,8
3/19/19 9:51,3/19/19 9:56,0,97.32.45.214,100,279,1,3/19/19 9:56,R_3m94ZjlWGIEDQ3a,,,,,37.75100708,-97.8219986,anonymous,EN,"A vegetarian dish, such as pasta with red sauce and a veggie patty.",6.216,54.417,55.328,11,Veggie patty in a bun.,potatos,pasta,red sauce without meat,tomatoes,cake, ice cream,candy,1.625,93.371,94.076,13,7,6,6,6,7,7,7,7,4.357,21.545,22.257,24,6,6,7,7,7,5,5,6,2.554,16.979,17.859,25
3/19/19 9:51,3/19/19 9:56,0,96.8.235.146,100,301,1,3/19/19 9:56,R_2PvaGmbFCVMy7Su,,,,,29.91119385,-98.23739624,anonymous,EN,Any type of chinese food with wonton soup,8.882,8.882,66.017,1,pizza,chinese food,,,,,,,12.31,18.654,184.495,2,7,7,,,,,,,11.776,12.672,15.259,2,4,5,,,,,,,9.072,9.784,10.501,2
3/19/19 9:54,3/19/19 9:56,0,73.148.231.128,100,127,1,3/19/19 9:56,R_1q1VqWIose0BQTT,,,,,31.28039551,-81.53050232,anonymous,EN,Chicken and dumplings ,1.097,1.097,32.458,1,Chicken and dumplings,Spaghetti,Cabbage rolls,Burger and fries,,,,,1.435,33.238,50.958,7,6,5,5,6,,,,,7.065,11.123,15.858,4,3,4,3,7,,,,,3.868,9.629,11.933,5
3/19/19 9:51,3/19/19 9:56,0,68.111.169.205,100,310,1,3/19/19 9:56,R_2rIt7Ch4nOxQb6z,,,,,33.1605072,-117.0978012,anonymous,EN,I would like a great piece of fish. Perhaps halibut. As a side I would like some mushrooms and potatoes ,9.047,73.414,74.56,9,Steamed carrots,broccoli ,cauliflower ,french fries,fried potatoes ,sun dried tomatoes ,rice,spinach ,10.484,88.812,105.071,6,3,3,4,7,7,2,6,4,5.263,34.95,36.262,10,3,3,4,6,6,3,6,4,8.502,26.451,27.657,10
3/19/19 9:51,3/19/19 9:57,0,24.113.50.251,100,338,1,3/19/19 9:57,R_3D1NN0XzhZquEx3,,,,,47.54269409,-122.5870972,anonymous,EN,nothing id rather do it myslef,1.808,13.018,226.452,4,none,healthy food i dont trust others to make,,,,,,,1.002,1.002,70.951,1,1,4,,,,,,,7.017,10.661,12.04,3,1,4,,,,,,,3.932,4.929,5.697,2
3/19/19 9:55,3/19/19 9:57,0,71.46.81.193,100,110,1,3/19/19 9:57,R_2aXkEYCpFQrJVRv,,,,,39.97140503,-86.12950134,anonymous,EN,spaghetti,2.656,2.656,31.281,1,spaghetti,tacos,chicken wings,,,,,,1.071,11.793,32.025,2,5,4,4,1,1,1,1,1,2.167,10.398,11.084,6,4,5,4,1,1,1,1,1,0.954,0.954,10.081,1
3/19/19 9:55,3/19/19 9:57,0,74.131.232.16,100,121,1,3/19/19 9:57,R_bdBErB1A9PvNUOt,,,,,38.35249329,-87.56909943,anonymous,EN,Fettuccine Alfredo,0.9,26.844,30.935,8,fettuccine alfredo,chinese,pizza,chicken tenders,mashed potatoes,shrimp,,,0.878,21.301,44.941,4,7,6,5,5,5,6,,,6.357,12.102,13.055,7,3,2,4,4,5,1,,,4.842,11.349,12.27,7
3/19/19 9:51,3/19/19 9:57,0,12.218.182.74,100,370,1,3/19/19 9:57,R_2uIhNeAf0wDqFti,,,,,27.76429749,-80.60189819,anonymous,EN,probably a good steak,0.978,2.634,287.699,2,sushi ,pizza,pasta,steak,fish,,,,0.716,0.716,43.54,1,7,7,5,7,7,,,,4.673,11.113,12.068,7,7,7,4,3,2,,,,3.212,7.126,7.796,8
3/19/19 9:55,3/19/19 9:58,0,24.4.62.188,100,121,1,3/19/19 9:58,R_3RxO5u2rtsljlIO,,,,,37.42449951,-122.2960052,anonymous,EN,mushroom ravioli,1.491,2.212,44.474,2,mushroom ravioli,tofu,pad thai,,,,,,0.829,24.65,34.621,3,7,5,6,,,,,,7.508,10.983,11.711,3,7,2,3,,,,,,2.473,8.301,8.618,4
3/19/19 9:55,3/19/19 9:58,0,99.203.21.28,100,166,1,3/19/19 9:58,R_vVqWVSE6xgP5l3b,,,,,35.28430176,-80.76000214,anonymous,EN,Pasta with meatballs,2.969,11.399,58.796,11,Pasta,Chicken salad,Pizza,Tuna ,Hamburgers,Chinese,Indian,Sushi,1.243,36.195,36.874,30,7,4,6,5,4,5,5,6,9.028,18.021,18.74,20,5,2,5,1,4,3,3,3,4.505,14.188,14.786,18
3/19/19 9:56,3/19/19 9:58,0,68.49.62.88,100,133,1,3/19/19 9:58,R_2wsKb9t1yNxFxwW,,,,,42.24389648,-83.58300018,anonymous,EN,Pizza,30.447,30.447,38.119,1,pizza,burgers,chicken,pork chops,,,,,9.128,39.117,40.075,5,7,6,4,4,,,,,9.371,14.614,15.714,6,2,5,6,5,,,,,3.736,9.546,10.77,5
3/19/19 9:55,3/19/19 9:59,0,71.105.236.45,100,208,1,3/19/19 9:59,R_2YXn1ZayOEQfN89,,,,,40.74290466,-73.93920135,anonymous,EN,veggie tacos,11.448,11.448,38.073,1,pasta,soup,veggie tacos,,,,,,23.775,23.775,49.217,1,7,6,7,,,,,,27.17,29.529,30.669,3,6,6,7,,,,,,10.478,14.421,15.884,3
3/19/19 9:56,3/19/19 9:59,0,38.77.17.254,100,158,1,3/19/19 9:59,R_1psxxpk13qngnJS,,,,,43.41529846,-76.09999847,anonymous,EN,Mac and cheese,34.982,34.982,48.235,1,Pizza,Tacos,,,,,,,27.357,27.357,38.282,1,7,7,,,,,,,13.281,13.881,15.346,2,7,7,,,,,,,9.359,10.055,11.44,2
3/19/19 9:52,3/19/19 9:59,0,75.86.24.233,100,403,1,3/19/19 9:59,R_3FRKIm0C2GXRBoM,,,,,43.08279419,-88.02690125,anonymous,EN,I would want them to make spaghetti and meatballs. I would like a side of salad with dressing also.,2.307,34.978,98.139,3,eggrolls,pizza,hamburger,ravioli,hotdogs,,,,115.113,141.643,143.427,2,7,4,7,4,4,,,,9.247,12.833,15.999,6,4,2,4,2,2,,,,8.964,15.458,20.524,6
3/19/19 9:58,3/19/19 10:00,0,192.67.88.5,100,112,1,3/19/19 10:00,R_1dujmqo8EpDzi3d,,,,,31.15089417,-99.33719635,anonymous,EN,enchiladas,0.884,0.884,31.446,1,chicken and dumplings,beans and cornbread,fajitas,tacos,,,,,1.471,10.877,32.185,2,6,5,7,7,,,,,14.839,18.053,18.915,5,3,4,2,6,,,,,4.071,9.534,10.358,5
3/19/19 9:57,3/19/19 10:00,0,108.22.202.20,100,163,1,3/19/19 10:00,R_116Jk9PjmgrN2wl,,,,,39.6342926,-77.73370361,anonymous,EN,thai food,3.72,3.72,68.444,1,tacos,frita,lechon,chicken,pot pie,lasagne,burgers,stir fry,5.695,20.211,49.569,2,4,5,4,5,3,6,7,7,4.766,13.821,14.516,8,7,4,3,7,7,3,7,7,1.613,9.302,10.389,12
3/19/19 9:55,3/19/19 10:00,0,75.129.255.11,100,307,1,3/19/19 10:00,R_3rU4dZzrEGJa1qD,,,,,38.31700134,-88.91049957,anonymous,EN,shark steak and asparagus,0,0,73.038,0,stuffed peppers,shark,squash,asparagus,,,,,0,0,173.474,0,7,7,7,7,,,,,5.705,6.482,8.126,8,3,1,6,6,,,,,4.911,13.431,15.601,79
3/19/19 9:57,3/19/19 10:00,0,70.94.146.8,100,198,1,3/19/19 10:00,R_122OtR0aSV9KMyT,,,,,29.45530701,-98.56770325,anonymous,EN,Lasagna,73.711,80.073,81.042,2,Cheesecake,Pad Thai,Steak,Chili,,,,,0.601,18,53.32,9,5,6,5,5,,,,,1.3,17.308,19.871,6,2,6,3,3,,,,,0.809,12.027,12.993,6
3/19/19 9:58,3/19/19 10:00,0,8.41.22.56,100,128,1,3/19/19 10:00,R_2BzBhIdbfINqt4K,,,,,37.86839294,-97.65910339,anonymous,EN,Chicken Enchiladas,7.336,30.506,31.375,2,Pizza,Beef Tacos,Pot Roast,Chicken Enchiladas,,,,,1.869,1.869,32.41,1,5,6,6,7,,,,,8.924,14.733,17.153,4,4,4,4,4,,,,,5.123,21.253,22.643,6
3/19/19 9:57,3/19/19 10:01,0,98.214.237.154,100,263,1,3/19/19 10:01,R_3DqlWfOgUAIXip5,,,,,39.85830688,-88.9382019,anonymous,EN,Steak,1.555,18.145,31.567,2,steak,hamburger,chicken ,,,,,,3.922,3.922,43.597,1,7,7,7,4,4,4,4,4,47.333,58.23,59.275,10,1,7,7,,,,,,8.108,11.506,12.104,5
3/19/19 9:58,3/19/19 10:01,0,71.237.59.12,100,188,1,3/19/19 10:01,R_3EX6xCMhzK3IeEV,,,,,39.86610413,-104.9197006,anonymous,EN,"steak, baked potato, creamed spinach",0,0,53.032,0,steak,lasagna,meatloaf,bbq pork,,,,,5.013,5.013,57.856,1,7,6,5,6,,,,,12.127,22.557,28.202,5,5,3,4,3,,,,,7.267,14.011,17.594,4
3/19/19 9:51,3/19/19 10:01,0,76.188.176.223,100,593,1,3/19/19 10:01,R_3ncMr4okySxr2XL,,,,,41.41360474,-81.90309906,anonymous,EN,"Pasta primavera, and a simple dessert.",1.188,1.188,116.367,1,pasta,vegetables,desserts,tomatoes,steaks,,,,0,0,156.356,0,5,6,5,5,5,,,,3.592,6.138,7.193,6,6,5,4,3,2,,,,52.352,54.15,54.861,5
3/19/19 9:51,3/19/19 10:01,0,71.8.86.183,100,611,1,3/19/19 10:01,R_30izkWLfu3eKXc8,,,,,33.12480164,-86.86219788,anonymous,EN,Chicken Tikka Masala,4.993,4.993,51.989,1,Lasagna,Fried Chicken,Chicken Tikka Masala,Crab Cakes,,,,,5.09,5.09,47.417,1,4,6,7,6,,,,,8.244,15.148,23.28,4,2,3,3,2,,,,,3.789,11.672,17.226,5
3/19/19 9:57,3/19/19 10:01,0,159.118.88.60,100,255,1,3/19/19 10:01,R_1JF7ef8ldGAbSYJ,,,,,34.31149292,-89.94429779,anonymous,EN,cheeseburger caserole,14.614,14.614,34.97,1,cheeseburgers,pizza caserole,fried chicken wings,mashed potatoes with gravy,meat loaf with gravy,stir fry,chicken dressing,cabbage,3.234,53.358,80.245,8,4,5,7,6,6,5,7,6,4.086,37.333,38.101,10,2,4,3,5,6,5,7,6,17.253,27.982,29.595,8
3/19/19 9:59,3/19/19 10:01,0,206.74.105.224,100,130,1,3/19/19 10:01,R_2AGdsz7OSzGZEAE,,,,,34.33039856,-82.33670044,anonymous,EN,spaghetti,4.442,4.442,35.747,1,fried rice,meatloaf,steak and potato,,,,,,9.545,9.545,34.411,1,7,6,6,,,,,,15.354,19.794,20.678,3,7,4,3,,,,,,5.898,11.433,12.454,3
3/19/19 10:00,3/19/19 10:02,0,184.56.48.193,100,127,1,3/19/19 10:02,R_1IxQyjcperPtSKF,,,,,41.57189941,-81.20559692,anonymous,EN,A nice steak with potatoes and carrots,3.177,31.427,31.951,3,steak,potatoes,carrots,prime rib,ribs,,,,8.18,8.18,37.132,1,6,4,4,5,5,,,,9.347,15.503,17.666,5,2,5,4,2,2,,,,12.225,18.627,21.017,5
3/19/19 10:00,3/19/19 10:02,0,71.126.53.241,100,124,1,3/19/19 10:02,R_2oeKCwwi7Ipu79T,,,,,42.08470154,-71.00019836,anonymous,EN,chicken mozambique ,3.858,3.858,36.231,1,pasta,chicken,chicken mozambique,,,,,,9.777,9.777,31.183,1,4,6,7,,,,,,7.455,8.957,9.893,3,4,7,4,,,,,,10.448,14.018,14.661,4
3/19/19 9:57,3/19/19 10:03,0,141.126.143.151,100,355,1,3/19/19 10:03,R_rl7811xFNNbSemR,,,,,43.12049866,-89.35230255,anonymous,EN,Lasagna,0.804,0.804,40.322,1,Lasagna,Fried Chicken,Homemade pizza,,,,,,1.12,139.202,158.604,3,7,5,4,,,,,,9.288,11.79,13.526,3,2,4,4,,,,,,5.266,7.586,9.998,3
3/19/19 10:00,3/19/19 10:03,0,71.81.87.92,100,177,1,3/19/19 10:03,R_1ILyNBQUxm4qsVO,,,,,38.40690613,-90.43810272,anonymous,EN,steak,17.89,45.988,60.36,2,pasta,breaded meat,,,,,,,11.037,11.037,41.088,1,5,7,,,,,,,9.323,12.327,14.307,3,4,2,,,,,,,23.431,25.696,26.918,2
3/19/19 10:01,3/19/19 10:03,0,70.140.24.236,100,123,1,3/19/19 10:03,R_2ZE00mJGbdiNOVq,,,,,29.89729309,-95.64630127,anonymous,EN,lasagna,10.618,11.124,31.112,2,pizza,pasta,enchiladas,,,,,,14.452,21.588,31.556,3,7,6,6,,,,,,12.026,15.49,17.5,3,4,3,2,,,,,,12.373,16.034,17.434,5
3/19/19 10:00,3/19/19 10:04,0,75.98.98.2,100,230,1,3/19/19 10:04,R_x8Z3zJlABjnDTa1,,,,,37.2592926,-93.29119873,anonymous,EN,A nice steak with potatoes and green beans.,0.722,0.722,56.249,1,macaroni,Ribs,Salad,Steak,fries,,,,0.716,0.716,124.23,1,5,6,5,7,7,4,4,4,0,0,12.773,0,5,3,6,5,7,4,4,4,0,0,10.74,0
3/19/19 9:56,3/19/19 10:04,0,64.22.228.164,100,461,1,3/19/19 10:04,R_0IAYRSCC8Ogdgbv,,,,,37.21530151,-93.29820251,anonymous,EN,Chicken lo mein,3.588,43.664,44.116,7,Pizza,Lasagna,Burger,,,,,,5.587,123.936,136.056,17,6,5,5,,,,,,6.256,23.685,26.026,13,5,4,4,,,,,,4.168,41.249,42.723,30
3/19/19 10:03,3/19/19 10:05,0,73.90.36.218,100,119,1,3/19/19 10:05,R_udWNYzh9c0CGfvj,,,,,38.62260437,-121.388504,anonymous,EN,Seafood Alfredo with a side salad,5.827,19.877,32.961,3,Spaghetti  ,Chicken Parmesan ,Filet Minon,Crab Legs,,,,,5.317,5.317,38.741,1,6,5,7,6,,,,,12.574,15.353,17.043,4,6,4,5,3,,,,,5.004,8.64,9.979,4
3/19/19 10:02,3/19/19 10:05,0,104.6.245.221,100,172,1,3/19/19 10:05,R_qPzAqepRzXR719T,,,,,26.6598053,-80.24289703,anonymous,EN,spaghetti and sauce,23.398,32.906,33.689,2,Cheeseburger,Fries,Spaghetti and sauce,,,,,,19.707,62.554,63.558,10,6,7,6,,,,,,12.391,16.313,28.655,3,5,7,4,,,,,,6.713,11.931,14.447,3
3/19/19 10:02,3/19/19 10:05,0,50.33.160.11,100,190,1,3/19/19 10:05,R_VOT3xjFjbzbgsRb,,,,,42.75289917,-84.73729706,anonymous,EN,Steak with mushrooms and corn over mashed potatoes,7.908,7.908,36.581,1,Chicken,,,,,,,,4.656,4.656,55.631,1,5,4,4,4,4,4,4,4,3.451,9.043,10.131,11,7,1,1,1,1,1,1,1,10.587,18,18.886,10
3/19/19 10:00,3/19/19 10:05,0,147.135.11.113,100,316,1,3/19/19 10:05,R_3KTJ6S5ayHmSLhh,,,,,38.96090698,-77.34290314,anonymous,EN,pizza,15.942,15.942,31.625,1,pizza,banana stew,rice,coffee,beef ,fish,yams,porridge,30.651,110.916,114.472,9,3,3,3,5,4,2,4,4,34.404,58.868,67.753,13,2,2,4,3,3,4,3,3,8.186,23.45,29.862,14
3/19/19 10:03,3/19/19 10:05,0,73.208.246.176,100,149,1,3/19/19 10:05,R_3m9smoRZn57rB6g,,,,,41.80549622,-89.70539856,anonymous,EN,"Steak tips with a buttery dipping sauce, rice, and some suated vegetables.",1.477,52.364,53.9,5,pasta,potatoes,rolls,rice,steak tips,vegetables,,,6.2,6.2,34.727,1,6,4,5,4,7,5,,,7.301,25.682,26.725,8,7,4,5,3,2,6,,,2.912,17.79,18.663,7
3/19/19 10:03,3/19/19 10:05,0,98.194.168.208,100,136,1,3/19/19 10:05,R_3G6QHWPlD7TjcZp,,,,,29.64599609,-95.8022995,anonymous,EN,"Grilled Chicken, Asparagus, Sweet potato",0.533,49.965,50.293,2,steak,chicken,sweet potato,aspargus,broccoli,spaghetti,,,1.244,2.275,42.832,3,1,1,1,1,1,1,,,4.005,6.96,7.565,7,3,7,7,7,7,4,,,2.79,9.178,10.442,8
3/19/19 10:03,3/19/19 10:06,0,65.186.20.223,100,193,1,3/19/19 10:06,R_2tLs0smRdGmmRft,,,,,39.95280457,-83.78040314,anonymous,EN,Penne pasta with meatballs.,5.889,23.385,31.034,3,Penne pasta with meatballs,Spaghetti ,Burgers,Sausage and rice,Roman Burger,Chicken breast,Sweet and sour chicken,Italian wrap,6.834,89.842,101.571,13,7,5,6,7,7,5,6,6,8.204,16.924,19.5,8,4,4,6,4,2,5,4,5,5.037,15.749,16.582,8
3/19/19 10:04,3/19/19 10:07,0,98.159.196.54,100,146,1,3/19/19 10:07,R_Rb5ABKLhru57jmF,,,,,34.61799622,-86.05619812,anonymous,EN,shrimp and spinach,36.484,36.484,43.894,1,shrimp,butter,spinach,avocado,salt,pepper,garlic,rice,4.859,4.859,31.499,1,1,2,5,7,1,3,4,3,0,0,4.86,0,1,3,4,4,5,5,7,5,0,0,20.514,0
3/19/19 10:03,3/19/19 10:07,0,32.213.81.138,100,235,1,3/19/19 10:07,R_ahjHY2EGf6BktWN,,,,,41.21600342,-73.13040161,anonymous,EN,"Breakfast for dinner with eggs, home fries, french toast and fruit",8.203,24.798,35.378,3,scambled eggs,cheese,hash browns,home fries,fruit salad,french toast,,,7.242,26.644,31.14,4,4,5,6,6,6,5,,,8.698,14.535,17.02,15,5,6,4,4,6,5,,,6.522,11.117,11.741,12
3/19/19 10:04,3/19/19 10:08,0,96.253.1.175,100,251,1,3/19/19 10:08,R_2ruLTylDpdGnNfr,,,,,41.59440613,-71.2519989,anonymous,EN,Chicken Parmesan,23.274,26.046,36.49,2,chicken noodle soup,chili,chicken alfredo,steak,,,,,2.241,2.241,45.83,1,7,4,3,5,,,,,58.726,64.686,67.831,4,7,2,1,4,,,,,5.787,12.519,13.777,4
3/19/19 10:07,3/19/19 10:09,0,73.79.166.153,100,129,1,3/19/19 10:09,R_bJFHm5CfzHZHBXH,,,,,40.07519531,-80.77469635,anonymous,EN,Meatloaf,15.606,15.606,47.844,1,pizza,lasagna,turkey,ham,,,,,1.094,44.902,45.172,2,6,7,5,5,,,,,4.838,9.253,10.035,5,5,7,7,6,,,,,1.701,3.741,4.251,4
3/19/19 10:05,3/19/19 10:10,0,68.59.26.228,100,242,1,3/19/19 10:10,R_3siwzv0cqjjlyAS,,,,,42.40409851,-86.2542038,anonymous,EN,Tacos,20.537,20.537,38.486,1,tacos,burritos,burgers,fried chicken,,,,,1.335,1.335,57.667,1,7,7,7,7,1,1,1,1,6.553,15.797,21.287,9,7,6,4,2,,,,,8.273,14.231,15.891,5
3/19/19 10:05,3/19/19 10:10,0,173.224.98.75,100,306,1,3/19/19 10:10,R_2aM0KwkjTo2vUUc,,,,,29.73880005,-95.8309021,anonymous,EN,broccoli cauliflower stir fry with salad ,52.947,99.641,108.671,4,cauliflower,broccoli,salad,rice,fish,,,,16.484,79.272,87.263,3,7,7,7,4,7,,,,13.843,25.726,28.53,7,4,4,2,7,7,,,,8.043,15.081,16.302,5
3/19/19 10:09,3/19/19 10:13,0,67.166.6.110,100,183,1,3/19/19 10:13,R_1Ib18KOQeHmgOGO,,,,,39.76280212,-105.0262985,anonymous,EN,twin lobster tails and filet mignon surf and turf,10.176,10.176,48.782,1,chicken,talapia,flounder,steak,pasta,calzone,pizza,burger,1.526,1.526,37.018,1,4,5,5,7,5,7,6,4,11.781,22.877,28.031,11,5,2,2,5,7,4,6,5,8.945,20.921,22.512,11
3/19/19 10:12,3/19/19 10:15,0,107.77.192.55,100,140,1,3/19/19 10:15,R_1nQ8pnUl0SvS6J7,,,,,39.95869446,-82.998703,anonymous,EN,steak and shrimp with creamy sauce,6.384,6.384,39.144,1,pork loin,pasta,spinach dip,ribs,,,,,4.87,18.251,32.178,3,4,6,6,5,4,4,4,4,5.781,19.924,20.947,16,4,6,2,3,,,,,14.207,20.437,24.069,5
3/19/19 10:11,3/19/19 10:16,0,24.208.131.223,100,346,1,3/19/19 10:16,R_2PjW2fu6dnDTphx,,,,,39.97270203,-82.832901,anonymous,EN,A pizza,7.297,7.297,264.229,1,Lasagna,Chicken Parmesan,Fettuccine Alfredo,,,,,,5.646,31.214,33.523,6,6,6,6,1,1,1,1,1,2.89,6.166,9.271,5,5,5,5,,,,,,1.497,3.957,4.663,6
3/19/19 10:14,3/19/19 10:17,0,170.167.192.25,100,157,1,3/19/19 10:17,R_YYB4hdnONzmpdYJ,,,,,47.49740601,-122.0106964,anonymous,EN,lasagna,6.622,6.622,55.564,1,lasagna,taco,steak,salad,hamburgers,stir fry,,,1.14,1.14,44.932,1,6,7,4,5,6,5,,,11.309,17.428,18.569,6,3,5,3,7,6,5,,,3.892,10.798,11.765,6
3/19/19 10:16,3/19/19 10:20,0,173.91.17.128,100,232,1,3/19/19 10:20,R_1o5qU5EfE6vIIss,,,,,41.49510193,-81.46569824,anonymous,EN,Surf & Turf with roasted vegetables and garlic mashed potatoes,2.169,2.169,65.361,1,steak,lobster,garlic,potatoes,pasta,mushrooms,crab,roasted vegetables,7.301,91.141,98.342,2,7,7,6,5,6,5,6,5,11.053,26.269,27.618,9,4,2,7,7,7,5,3,7,8.733,16.716,17.415,8
3/19/19 10:18,3/19/19 10:22,0,199.241.125.113,100,225,1,3/19/19 10:22,R_OvRzNc1ccmZS6Nb,,,,,44.97520447,-93.26119995,anonymous,EN,chicken-fried steak,4.77,109.313,111.992,3,chicken fried steak,Hamburger,Burrito,Grilled cheese,,,,,4.266,4.266,56.716,1,7,6,6,6,,,,,8.815,13.91,15.14,4,6,7,5,5,,,,,6.308,9.811,13.228,4
3/19/19 10:11,3/19/19 10:23,0,24.45.7.187,100,720,1,3/19/19 10:23,R_3dWybatavatWqWW,,,,,40.87309265,-74.74259949,anonymous,EN,lobster and clams,7.122,556.108,562.283,10,kobe beef,salad,sushi,bbq ribs,filet mignon,lobster and clams,,,0.762,84.186,85.273,4,7,5,6,6,6,7,,,7.681,21.291,22.127,15,1,6,2,2,2,2,,,5.622,18.755,23.904,14
3/19/19 10:22,3/19/19 10:25,0,67.170.28.221,100,165,1,3/19/19 10:25,R_1CrqHg3g7lt3tnU,,,,,47.73449707,-117.4469986,anonymous,EN,steak and lobster,12.479,12.479,33.688,1,steak,lobster,hamburger,pizza,grilled chicken,Italian,enchiladas,tacos,3.118,3.118,44.272,1,7,7,6,7,7,6,7,6,8.089,19.807,25.691,8,4,2,7,5,7,3,3,7,6.549,21.091,23.476,9
3/19/19 10:26,3/19/19 10:28,0,70.90.9.129,100,112,1,3/19/19 10:28,R_3n8ykcS33jJhIUO,,,,,39.96640015,-75.16850281,anonymous,EN,homemade vegan mac and cheese,4.983,4.983,35.742,1,spaghetti,stir fry,pizza,,,,,,0.938,0.938,40.143,1,5,6,7,,,,,,6.285,7.469,7.901,3,6,6,3,,,,,,5.349,6.469,7.171,3
3/19/19 10:27,3/19/19 10:29,0,73.73.33.102,100,126,1,3/19/19 10:29,R_x9HVg0JXs1Bdgo9,,,,,41.97779846,-88.20179749,anonymous,EN,Burgers,4.825,4.825,44.453,1,burgers,pizza,hotdogs,brats,steak,Tacos,chicken,s,4.832,4.832,36.267,1,7,6,6,6,6,6,6,6,6.967,14.409,15.868,8,7,6,6,6,5,6,6,6,4.898,10.944,11.779,8
3/19/19 10:28,3/19/19 10:31,0,75.104.34.47,100,170,1,3/19/19 10:31,R_2Qng3IN3WNnUn3d,,,,,42.11979675,-76.88770294,anonymous,EN,"I would like to have some chicken and vegetables stir fry, or some rice noodles and chicken",16.428,16.428,40.293,1,chicken,spaghetti,goulash,chili soup,,,,,11.432,11.432,48.944,1,7,7,7,7,,,,,7.187,14.929,17.189,8,6,7,6,6,,,,,6.814,29.923,31.364,4
3/19/19 10:27,3/19/19 10:31,0,66.24.34.255,100,226,1,3/19/19 10:31,R_110ykaJX1yWldDW,,,,,42.14630127,-75.8864975,anonymous,EN,Steak with home made steak fries and brussles sprouts with bacon,1.42,1.42,58.893,1,Steak,Potatoes,Brussles Sprouts,Bacon,Chicken,Carrots,Ham,Pasta,18.464,87.376,96.946,11,7,7,7,7,7,5,5,4,18.193,31.61,31.9,11,1,7,3,7,4,2,2,4,3.821,17.374,17.744,10
3/19/19 10:28,3/19/19 10:31,0,68.84.214.23,100,210,1,3/19/19 10:31,R_XOsdasjR7QxZayl,,,,,39.98280334,-75.82389832,anonymous,EN,Meatloaf with mashed potatos and green beans,19.168,19.168,41.5,1,meatloaf,mashed potatos,green beans,,,,,,7.448,27.295,39.061,4,7,6,4,,,,,,57.083,62.137,64.846,3,7,7,4,,,,,,19.555,22.667,25.336,3
3/19/19 10:30,3/19/19 10:33,0,67.83.43.61,100,130,1,3/19/19 10:33,R_3oFODbIUjjV48Az,,,,,40.67529297,-74.22750092,anonymous,EN,lasagna ,4.922,4.922,31.149,1,lasagna ,steak and potatoes ,,,,,,,1.896,24.222,32.904,5,7,6,,,,,,,4.68,6.803,7.917,2,1,7,,,,,,,5.1,6.764,8.782,2
3/19/19 10:31,3/19/19 10:34,0,68.57.122.148,100,184,1,3/19/19 10:34,R_1ISO9rlIYc966zM,,,,,36.2953949,-82.49019623,anonymous,EN,Lasagna,5.347,5.347,33.623,1,Lasagna,chicken,steak,spagetti,pizza,,,,7.543,7.543,43.949,1,6,5,5,4,4,,,,9.855,35.272,36.49,9,2,7,2,4,4,,,,8.726,17.279,18.683,5
3/19/19 10:35,3/19/19 10:38,0,12.195.73.250,100,164,1,3/19/19 10:38,R_9SqIfnV4QW7WQlr,,,,,36.17889404,-86.80349731,anonymous,EN,"Steak, vegetables and potatoes",7.481,7.481,48.572,1,turkey,venison,chicken,bbq pork,fries,ice cream,oats,rice,3.997,39.493,60.232,2,5,6,6,6,3,5,3,3,7.408,14.401,15.251,8,6,2,6,6,2,3,4,4,5.108,13.763,14.189,9
3/19/19 10:36,3/19/19 10:38,0,129.71.215.161,100,150,1,3/19/19 10:38,R_3ho15oPSSORiUrn,,,,,38.37739563,-81.83049774,anonymous,EN,Steak and potatoes,3.602,30.994,34.884,2,Steak and potatoes,Tuna casserole,Hot dogs,Salad,Fish with rice,,,,1.459,33.354,33.739,3,7,5,5,5,6,,,,13.85,22.873,24.329,5,3,5,6,5,,,,,4.083,13.179,13.693,5
